Farm_ID,District,Location,Year,June,July,Aug,Sept,Oct,Seasonal_mean,Seasonal_max,Growth_rate,NDVI_range,Crop_health
R5,Raichur,Tippanahatti,2018,0.126761774,0.166087476,0.205413178,0.24473888,0.597223321,0.268044926,0.597223321,0.470461548,0.470461548,Moderate
R5,Raichur,Tippanahatti,2019,0.10479217,0.034057209,0.156124826,0.278192443,0.403523482,0.195338026,0.403523482,0.298731312,0.369466272,Moderate
R5,Raichur,Tippanahatti,2020,0.227288445,0.277554626,0.327820807,0.378086988,0.685242679,0.379198709,0.685242679,0.457954234,0.457954234,Healthy
R5,Raichur,Tippanahatti,2021,0.163702229,0.225660027,0.287617825,0.648680902,0.656787213,0.396489639,0.656787213,0.493084983,0.493084983,Healthy
R6,Raichur,Manvi,2018,0.132632127,0.065320753,0,0.130664204,0.259792815,0.11768198,0.259792815,0.127160689,0.259792815,Stressed
R6,Raichur,Manvi,2019,0.115439993,0.115439993,0.139228861,0.163017729,0.331351097,0.172895535,0.331351097,0.215911104,0.215911104,Stressed
R6,Raichur,Manvi,2020,0.205683683,0.324156637,0.408035477,0.491914317,0.524127566,0.390783536,0.524127566,0.318443883,0.318443883,Healthy
R6,Raichur,Manvi,2021,0.123771074,0.197909203,0.272047331,0.487142335,0.501895243,0.316553037,0.501895243,0.378124169,0.378124169,Moderate
R7,Raichur,Madlapur,2018,0.094242973,0.040532094,0,0.309545566,0.482371204,0.185338367,0.482371204,0.388128231,0.482371204,Moderate
R7,Raichur,Madlapur,2019,0.055623222,0.055623222,0.13624779,0.216872358,0.512993136,0.195471945,0.512993136,0.457369914,0.457369914,Moderate
R7,Raichur,Madlapur,2020,0.138393078,0.150116519,0.325901428,0.501686338,0.5717688,0.337573232,0.5717688,0.433375722,0.433375722,Healthy
R7,Raichur,Madlapur,2021,0.112085099,0.194342437,0.276599775,0.485616126,0.559765769,0.325681841,0.559765769,0.44768067,0.44768067,Moderate
R8,Raichur,Amareshwara Camp,2018,0.095333597,0.04451416,0,0.192632628,0.443853924,0.155266862,0.443853924,0.348520327,0.443853924,Stressed
R8,Raichur,Amareshwara Camp,2019,0.145225738,0.071468498,0.097444628,0.123420758,0.192074337,0.125926792,0.192074337,0.046848599,0.120605839,Stressed
R8,Raichur,Amareshwara Camp,2020,0.164960834,0.203317719,0.248000337,0.292682956,0.631871277,0.308166625,0.631871277,0.466910443,0.466910443,Moderate
R8,Raichur,Amareshwara Camp,2021,0.116952694,0.134946583,0.152940472,0.444814334,0.63329331,0.296589479,0.63329331,0.516340616,0.516340616,Moderate
R9,Raichur,Hiredinni,2018,0.132740404,0.200239707,0.26773901,0.335238313,0.491842517,0.285559991,0.491842517,0.359102113,0.359102113,Moderate
R9,Raichur,Hiredinni,2019,0.084858771,0.05817215,0.094925689,0.131679227,0.23390256,0.120707679,0.23390256,0.149043789,0.175730409,Stressed
R9,Raichur,Hiredinni,2020,0.108032383,0.240275372,0.372518362,0.504761351,0.611737652,0.367465024,0.611737652,0.503705269,0.503705269,Healthy
R9,Raichur,Hiredinni,2021,0.158301007,0.247560915,0.336820823,0.622121801,0.618344214,0.396629752,0.622121801,0.460043207,0.463820794,Healthy
